sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
1347,"Road Infrastructure Developmant Office, Kapilvastu",Maryadpur Sultanpur Sihakhor Piparahawa road upgradation,2230300.59,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/10
1348,"Road Infrastructure Developmant Office, Kapilvastu","Jhulanipur Harnampur Jagadishpur road, Kapilvastu -9",2164148.13,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/11
1349,"Road Infrastructure Developmant Office, Kapilvastu",Mainihawa chowk to Belauha Murandihawa Kuwagaun road upgradation,2741247.92,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/12
1350,"Road Infrastructure Developmant Office, Kapilvastu","Dohani Chauraha to Bargadawa School road upgradation, Kapilvastu -7",2592743.55,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/13
1351,"Road Infrastructure Developmant Office, Kapilvastu",Mainihawa  chowk to Kankatawa Dhamauli Bichauwapur Fulika Suryabaliya Sohasa road,6300940.71,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/16
1352,"Road Infrastructure Developmant Office, Kapilvastu","Purena Bar ko rukhdekhi Fachkaiya, Kailhawa Mormi road in Buddhbhoomi Municipality Ward No. 1, 2 and 3 road upgradation,Kapilvastu.",1997652.46,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/17
1353,"Road Infrastructure Developmant Office, Kapilvastu","Banganga Munucipality 3 Lumbini Vision college agadiko bato Kalopatre,Banganga,Kapilvastu",2589467.45,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/18
1354,"Road Infrastructure Developmant Office, Kapilvastu","Banganga Municipality-04, Kotiya Chowk dehi Thati samma Jane Sadak,Kapilvastu.",1797958.70,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/19
1355,"Road Infrastructure Developmant Office, Kapilvastu","Radhakrishana Mandir dekhi Banjadeko Milsamma road upradation,Banganga Municipality-02,Kapilvastu.",1883097.42,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/20
1356,"Road Infrastructure Developmant Office, Kapilvastu","Buddhi Hanumanchowk Gelver Rangai Dubiya hudai Arghakhachi Sadak, Buddhabhumi-03, Kapilvastu.",2217948.31,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/21
1357,"Road Infrastructure Developmant Office, Kapilvastu","Shivapur Karahiya Bhaluhi Madhawa Hudai belnadi Sadak,Shivaraj Municipality-05, Kapilvastu",2207488.58,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/22
1358,"Road Infrastructure Developmant Office, Kapilvastu",Mayadevi Ga. Pa. Bijuwa Amhawa Narkhoriya to Belbhariya Hulaki road upgradation,3288056.93,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/07
1359,"Road Infrastructure Developmant Office, Kapilvastu",Gaura Sisahaniya Karmahawa Dohani road,2679192.84,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/09
1360,"Road Infrastructure Developmant Office, Kapilvastu","Bargadawa gaun to Taulihawa Bus Station road and Drain construction, Kapilvastu -2",1912084.11,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/14
1361,"Road Infrastructure Developmant Office, Kapilvastu","Aajad Darji ko ghar dekhi Sita Acharya Narayan Regmi ko ghar road upgradation, Kapilvastu -2",2015484.67,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/15
1362,"Road Infrastructure Developmant Office, Kapilvastu","Bankatahawa-Shivapur-1 Hudai Karaiya Chainpur Sadak,Shivaraj-01,Kapilvastu.",1926490.27,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/24
1363,"Urban Development & Building Office Ghorahi, Dang","Ganeshpur Basti Bikas (Drain and Road Construction works), Lamahi na.pa.-08, Dang.",2288758.02,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/01-2080/81
1364,"Urban Development & Building Office Ghorahi, Dang","Gwarkhola Tallo Basti, Kumalgaun Basti Bikas (Drain Work), Tulsipur-7, Dang.",1459695.94,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/03-2080/81 
1365,"Road Infrastructure Developmant Office, Kapilvastu","MRM Supadeurali Mandir-Khusahatol-Nayabasti-Durgamandir-Banakatti-Semari-Jalimbagiya-Bhadhaukher-SekhuwaniTal-Maitahawa-Maharajgunj-Thuniya Road,Shivarj-11,Kapilvastu.",2124286.45,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/23
1366,"Road Infrastructure Developmant Office, Kapilvastu","Lakhanchowk Labani Sibalawa chowk to Dohani Fulawapur Tadanagar Ghiraujot road upgradation, Shuddhodhan -5 Kapilvastu",3694065.68,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/01
1367,"Road Infrastructure Developmant Office, Kapilvastu",Shuddhodhan -2 Harnampur Jho. Pu. Dekhi Karmahawa road construction,2750548.95,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/04
1368,"Road Infrastructure Developmant Office, Kapilvastu",Shuddhodhan -1 Bakuli Paschim Dih dekhi Jho.pu. Shekhuya road,2144520.03,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/05
1369,"Road Infrastructure Developmant Office, Kapilvastu",Mayadevi Ga. Pa. ward 4 to 5 Sisahaniyakot road upgradation,2653983.67,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/06
1370,"Road Infrastructure Developmant Office, Kapilvastu","Construction of Pichurki Village South Marthi River RCC Motorable Bridge along Pakadi Pipara to Hulaki Road, Kapilbastu",37849340.99,Works,NCB,In-Progress,RIDOKAP/10134/NCB/079-80/177
1371,"Road Infrastructure Developmant Office, Kapilvastu","Construction of Bharwaliya Village West Sisai Khola RCC Motorable Bridge Abhiraw Bharwaliya Mugheri Road, Kapilbastu",45374578.52,Works,NCB,In-Progress,RIDOKAP/10134/NCB/079-80/178
1372,"Road Infrastructure Developmant Office, Kapilvastu","Construction of Karma Village West River RCC Motorable Bridge along Hulaki Road (Sudhodhan Ga. Pa. 6), Kapilvastu",59659261.75,Works,NCB,In-Progress,19/RIDOKAP/079-80/191
1373,"Road Infrastructure Developmant Office, Kapilvastu",Construction of Khairati Marthi multicell Box Culvert along Fulika-Thulokhairaghat -Pipara-Pakadi Road Kapilbastu,20306233.92,Works,NCB,In-Progress,20/RIDOKAP/079-80/192
1374,"Road Infrastructure Developmant Office, Kapilvastu",Bargadawa Bhawapur Titirkhi Road Maintenance work Kapilvastu,3312274.64,Works,NCB,In-Progress,RIDOKAP/10144/NCB/080-81/47
1375,"Road Infrastructure Developmant Office, Kapilvastu","RTO road purba uttar Narikot hudai bijgauri Sadak,Shivaraj-09,Kapilvastu",1688694.98,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/48
1376,"Road Infrastructure Developmant Office, Kapilvastu","Mormi Pratikshalya dekhi Siruwa hudai Tharu Deuhar samma Sadak,Banganga-08,Kapilvastu",3419893.86,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/49
1377,"Road Infrastructure Developmant Office, Kapilvastu","Karmahana Uttar chowk dekhi Purwa Hathausa jane sadak  and Karmahana Gaun bata Dakshin Tharu diuhar hudai Pratikshalaya samma Sadak,Banganga-03,Kapilvastu",3717906.56,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/50
1378,"Road Infrastructure Developmant Office, Kapilvastu","Sasatra Prahari Bal 5 no. Brindabasini Bahini Chandrauta Pahuch Marga,Shivaraj-05,Kapilvastu.",2477968.27,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/51
1379,"Road Infrastructure Developmant Office, Kapilvastu","Jawabhari dekhi itorol sadak and Jawabhari Gaun ma nali Nirman,Shivaraj-07 kapilvastu",2496200.28,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/52
1380,"Road Infrastructure Developmant Office, Kapilvastu","Tikkar Buddhi Bijgauri Taulihwa  Maintenance work , Kapilvastu",4648619.30,Works,NCB,In-Progress,RIDOKAP/10144/NCB/080-81/53
1381,"Road Infrastructure Developmant Office, Kapilvastu","Dumara Gabdawa Sadak,Buddhabhumi-09,Kapilvastu",1429443.60,Works,NCB,In-Progress,RIDOKAP/10134/NCB/080-81/54
1382,"Urban Development & Building Office Ghorahi, Dang","MA.VI. Dandagaun Gogli - Laxmipur - Shiv Mandir Road Upgrading and Drain Works, Ghorahi-4, Dang.",1567023.77,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/02-2080/81
1383,"Urban Development & Building Office Ghorahi, Dang","Dhakana Tharugaun Basti-Road Construction Works, Tulsipur -13, Dang.",2971218.14,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/04-2080/81
1384,"Urban Development & Building Office Ghorahi, Dang","Kothari Naya Basti Bikas (Road Construction Works) Tulsipur-15, Dang.",1785571.34,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/05-2080/81
1385,"Urban Development & Building Office Ghorahi, Dang","Nawalpur Tharu Gaun Road and  Drain Construction Work , Tulsipur-7, Dang.",2695843.17,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/06-2080/81
1386,"Urban Development & Building Office Ghorahi, Dang","Bangaun  Bal Janta Ma.Vi.Bangaun (Drain and  Road Construction Works), Lamahi na.pa.-03, Dang.",3231383.49,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/07-2080/81
1387,"Urban Development & Building Office Ghorahi, Dang","Gwarkhola, Rapti Babai Campus - Tulsipur Bazar Upgrading And Black Topped work, Tulsipur-12 and 6, Dang.",3114921.20,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/08-2080/81
1388,"Urban Development & Building Office Ghorahi, Dang","Damodar Road - Sukdewa Beljhundi Samadhisthal  Road Black Topped Work, Dangisharan-4, Dang.",3285013.84,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/09-2080/81
1389,"Urban Development & Building Office Ghorahi, Dang","B.P Marg - Budhiman Budha  ghar Road Black Topped Work, Ghorahi -02, Dang.",3630906.37,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/10-2080/81
1390,"Urban Development & Building Office Ghorahi, Dang","Rampur-Balapur Road Upgrading Work, Ghorahi -2, Dang.",3408229.95,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/11-2080/81
1391,"Urban Development & Building Office Ghorahi, Dang","Takiyapur Manikapur Road Drain Construction Works , Tulsipur-2, Dang.",3075745.87,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/12-2080/81
1392,"Urban Development & Building Office Ghorahi, Dang","Jethangaun- Mahadewa, Dhaireni - Gadhawa Campus - Rajpur Road upgrading Work, Gadhawa ga.pa.-04, Dang.",3127215.10,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/13-2080/81
1393,"Urban Development & Building Office Ghorahi, Dang","Simthana Simthani Basti Bikas, Dangisharan-7, Dang.",2272896.33,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/14-2080/81
1394,"Urban Development & Building Office Ghorahi, Dang","Pipari Galli Basti Bikas and  Ladanchok Uttar side Subash Chaudhary house culvert construction work (Drain and Road Construction Work),Rapti Ga.Pa.-08,Dang",2637220.39,Works,NCB,In-Progress,UDBO/DANG/NCB/ WORKS/15-2080/81
1395,"Urban Development & Building Office Ghorahi, Dang","Bhaisapathra Saraswati khola South Shivmandir - Dobhan Chautari Road and Drain Construction Work, Ghorahi-05, Dharna, Dang.",2342491.40,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/16-2080/81
1396,"Urban Development & Building Office Ghorahi, Dang","Highway - Buddhanagar Tole Basti Bikas (Drain And Road Construction Works), Ghorahi-15, Dang.",1769165.66,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/17-2080/81
1397,Sunsari Morang Irrigation Project,Construction of Head Reach Canal With Pumping System in Sundargundar Minor Systems,73836313.54,Works,NCB,In-Progress,SMIP-02/NCB/080-81
1398,Sunsari Morang Irrigation Project,"Supply, Delivery, Installation, Testing and Commissioning of Radial Piston Hydraulic Motors for Winch Drive of Dredgers",6881700.00,Goods,NCB,In-Progress,SMIP-01/NCB/2080-81
1399,Sunsari Morang Irrigation Project,"Construction of Headworks, Canal and Canal Structures of Lohandra Augmentation Sub-Project",428972701.92,Works,NCB,In-Progress,SMIP-08/NCB/079-80
1400,"Infrastructure Development Office, Myagdi","Upgrading Of Pakher Baranja Bukeni Dhapung Tarakhola Road, Mangala Rural Municipality - 3 & 4",12801399.66,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/01/080-081
1401,"Infrastructure Development Office, Myagdi","Upgrading Of Mahabhir - Dosalle Kaphaldanda - Nagi Road, Annapurna Rural Municipality -7 & 8, Myagdi",7258732.93,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/02/080-081
1402,"Infrastructure Development Office, Myagdi","Bima Marang Malkbang Kuine Thadakhani Pakhapani Road, Dhawalagiri Rural Municipality - 5 &6",6967392.32,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/09/080-081
1403,"Infrastructure Development Office, Myagdi","Upgrading of Darbang Devisthan Takam Road, Malika - 5 & Dhawalagiri - 7",6761073.02,Works,NCB,In-Progress,IDO/MYAGDI/NCB/W/05/080-081
1404,"Urban Development & Building Office Ghorahi, Dang","Pyuthan Hospital Building Construction Work, Bijuwar-4, Pyuthan.",213053769.01,Works,NCB,In-Progress, UDBO/DANG/NCB/WORKS/31-2079/80
1405,Bharatpur Metropolitian City Office,"Construction of Blacktopped Road of Pandey Chowk to Healthpost upto Police post to Ward office Boundary, BMC-21,",16168316.09,Works,NCB,Completed,01-BMC/2080/081/W/NCB/01
1406,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Lama’s Home infront of Gumba and Jit Bahadur Gurung Home’s Road, BMC-26",3586053.33,Works,NCB,Completed,01-BMC/2080/081/W/NCB/02
1407,Bharatpur Metropolitian City Office,"Construction of Blacktopped Road from West of Khayarghari School to Rudra Bhandari’s House , BMC-26,",3538354.13,Works,NCB,Completed,01-BMC/2080/081/W/NCB/03
1408,Bharatpur Metropolitian City Office,Supply and Delivery of Stationery-Masland related Goods.,18805177.50,Goods,NCB,Completed,03-BMC/2080/81/G/NCB/04
1409,Bharatpur Metropolitian City Office,"Procurement of Printing related goods for Office, BMC",3219313.50,Goods,NCB,Completed,03-BMC/2080/81/G/NCB/05
1410,Bharatpur Metropolitian City Office,Supply and Delivery of Furniture and Fixtures at Bharatpur Metropolitan City.,6212500.00,Goods,NCB,Completed,03-BMC/2080/81/G/NCB/06
1411,"Tokha Municipality, Office of the Municipal Executive",Ward-10 ko Mul ra sahayak sadak haru Overlay.,2294452.50,Works,NCB,In-Progress,02/NCB/TM/W/2080-081 
1412,"Tokha Municipality, Office of the Municipal Executive",Ward-09 ko bibhina Sadak haru Kalopatray,4613812.30,Works,NCB,In-Progress,03/NCB/TM/W/2080-081 
1413,"Tokha Municipality, Office of the Municipal Executive","Sidhesor Mandir dekhi utar tarfa Manmaiju Pool samma Plum wall Nirman, ward-09",3616500.00,Works,NCB,In-Progress,04/NCB/TM/W/2080-081 
1414,"Tokha Municipality, Office of the Municipal Executive",Tarkesor-11 ra Tokha-9 Bich Jodne Bishnumati Pool Nirman,26835559.65,Works,NCB,In-Progress,05/NCB/TM/W/2080-081 
1415,"Tokha Municipality, Office of the Municipal Executive",Jalupa Chowk-Baniyatar-Tamang Basti-Shree Swosthani Tol ra Melmilap Tol ma Sadak Kalopatray-ward-08,10368128.95,Works,NCB,In-Progress,06/NCB/TM/W/2080-081 
1416,Bharatpur Metropolitian City Office,Construction of Road from Territory of BMC 6 AND 13 charkune Chowk to Tunabari Chowk in BMC-6 13 And 22,2373776.60,Works,NCB,Completed,8-BMC/2079/080/W/NCB/13
1417,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from territory of BMC-6 and 13 Mahajan Chowk to Kameswor Mandir to Sahakari Chowk to Khageri Nahar (Branch no 2) to Baagchowk, BMC-6,13,14 and 22",24388735.42,Works,NCB,Completed,8-BMC/2079/080/W/NCB/14
1418,Bharatpur Metropolitian City Office,Compound Wall Construction Works At BMC Ward No.2 Office,24388735.42,Works,NCB,Completed,8-BMC/2079/080/W/NCB/15
1419,Bharatpur Metropolitian City Office,"""	Supplying and Delivery of Ring Compost Chamber""",1764001.82,Goods,Sealed Quotation,Completed,RE-8-BMC/2079/080/G/SQ/16
1420,Bharatpur Metropolitian City Office,"Blacktopped Road Construction at madhyabindu tole (Marga No. 1,2 & Road Connnecting Prembasti Marga No. 5) BMC-7",6309141.77,Works,NCB,Completed,10-BMC/2079/080/W/NCB/17
1421,Bharatpur Metropolitian City Office,"Blacktopped Road Construction From Raju Paudel's House To Keureni Ghol, BMC-18",5354081.25,Works,NCB,Completed,10-BMC/2079/080/W/NCB/18
1422,Bharatpur Metropolitian City Office,"Blacktopped Road Construction works (From Bhattachowk to south Shiva Sir's  Home and from 22 No simana to Padampokhari Higher school),BMC 14 AND 22",23631200.38,Works,NCB,Completed,10-BMC/2079/080/W/NCB/19
1423,Bharatpur Metropolitian City Office,Procurement of Motorcycle and Scooter as per Specification.,2858999.89,Goods,NCB,Completed, RE-12-BMC/2079/080/G/NCB/24
1424,Bharatpur Metropolitian City Office,Compound Wall Construction works (Amar Ma. Vi. BMC 22),4797218.79,Works,NCB,Completed,13-BMC/2079/080/W/NCB/25
1425,Bharatpur Metropolitian City Office,"Building Construction works in sajhapur secondary school,sajhapur BMC-28",5071990.95,Works,NCB,Completed,13-BMC/2079/080/W/NCB/26
1426,Bharatpur Metropolitian City Office,"Construction of Physical Structure in Chitwan Engineering Campus,Rampur BMC-15",4569430.30,Works,NCB,Completed,RE-14-BMC/2079/080/W/NCB/27
1427,Bharatpur Metropolitian City Office,Blacktopped Road Construction (Manakamana Tole Bikas Marge no. 8 )BMC-7,1296945.10,Works,Sealed Quotation,Completed,RE-15-BMC/2079/080/W/SQ/28
1428,Bharatpur Metropolitian City Office,"Blacktopped road reconstruction at ritu marga,BMC-15",8715503.00,Works,NCB,Completed,15-BMC/2079/080/W/NCB/30
1429,Bharatpur Metropolitian City Office,"Blacktopped Road Construction works and other Physical Construction works (from Kerunga River to Khem B.K's House and to Boundary of Ward no 21 ) ,BMC-23",6028595.40,Works,NCB,Completed,15-BMC/2079/080/W/NCB/31
1430,Bharatpur Metropolitian City Office,Blacktopped Road Maintenance works of Different ward of Bharatpur Metropolitan city -Package 1,29234357.66,Works,NCB,Completed,16-BMC/2079/080/W/NCB/32
1431,Bharatpur Metropolitian City Office,"Blacktopped road construction works at Paudel Marga, (Gaurikon tole Bikas Sanstha) BMC-8",2406186.98,Works,NCB,Completed,17-BMC/2079/080/W/NCB/33
1432,Bharatpur Metropolitian City Office,Blacktopped Road Construction at BMC-24 (Package work),118555368.30,Works,NCB,Completed,17-BMC/2079/080/W/NCB/34
1433,Bharatpur Metropolitian City Office,Supply and Delivery of NP3 Hume  pipe of Different sizes.,3538877.50,Goods,NCB,Completed,18-BMC/2079/080/G/NCB/35
1434,Bharatpur Metropolitian City Office,Road Marking on The Blacktopped Road At BMC,3001370.40,Works,NCB,Completed,18-BMC/2079/080/W/NCB/36
1435,Bharatpur Metropolitian City Office,Construction Of Mesh Jali Works in Gyaneshwor Samudayik Ban BMC16.,3506719.98,Works,NCB,Completed,19-BMC/2079/080/W/NCB/39
1436,Bharatpur Metropolitian City Office,Blacktopped Road Construction from South of Ekata Chowk to Lamsal Chowk BMC-14,12337308.71,Works,NCB,Completed,19-BMC/2079/080/W/NCB/40
1437,Bharatpur Metropolitian City Office,Blacktopped Road Construction from Airport Highway to Bypass Road BMC-10,10672193.39,Works,NCB,Completed,17-BMC/2079/080/W/NCB/41
1438,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Srijana Tole,BMC-7",3440464.90,Works,NCB,Completed,20-BMC/2079/080/W/NCB/42
1439,Bharatpur Metropolitian City Office,Supply and Delivery of Ladies Bicycle at BMC,983262.72,Goods,Sealed Quotation,Completed,20-BMC/2079/080/G/SQ/43
1440,Bharatpur Metropolitian City Office,Construction of Gunjanagar Green Park at BMC 18,3017225.77,Works,NCB,Completed,21-BMC/2079/080/W/NCB/44
1441,Bharatpur Metropolitian City Office,Drain Construction in BMC-12 (From Ghol Bajar Chowk To Pariyar Niyojan Chowk),8782094.08,Works,NCB,Completed,22-BMC/079/080/W/NCB/46
1442,Bharatpur Metropolitian City Office,"""	Procurement and Supply of Medicines For Basic and Emergency Health Services , Bharatpur Metropolitan City""",7824273.50,Works,NCB,Completed,22-BMC/079/080/G/NCB/47
1443,Bharatpur Metropolitian City Office,Procurement of supply of Ayurvedic Medicine for Bharatpur Metropolitan City,2704700.00,Works,NCB,Completed,22-BMC/079/080/W/NCB/48
